Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
251,Reinsurance Group of America,2767,12875.7,715.8,64535.2,8922,Financials,"Insurance: Life, Health (Stock)",Chesterfield,MO
252,VF,69000,12862.3,658.6,10311.3,34382.1,Apparel,Apparel,Greensboro,NC
253,Discover Financial Services,16600,12848,2742,109553,23215.1,Financials,Commercial Banks,Riverwoods,IL
254,Global Partners,2500,12672.6,103.9,2424.3,668.4,Wholesalers,Wholesalers: Diversified,Waltham,MA
255,Edison International,12574,12657,-423,56715,20174.2,Energy,Utilities: Gas and Electric,Rosemead,CA
256,Oneok,2684,12593.2,1151.7,18231.7,28746.9,Energy,Pipelines,Tulsa,OK
257,Murphy USA,6800,12524,213.6,2360.8,2755.6,Retailing,Specialty Retailers: Other,El Dorado,AR
258,Bed Bath & Beyond,65000,12349.3,424.9,7040.8,2335.7,Retailing,Specialty Retailers: Other,Union,NJ
259,Consolidated Edison,15307,12337,1382,53920,27230.6,Energy,Utilities: Gas and Electric,New York,NY
260,CSX,22475,12250,3309,36729,60805.2,Transportation,Railroads,Jacksonville,FL
261,J.C. Penney,95000,12019,-255,7721,471.4,Retailing,General Merchandisers,Plano,TX
262,LKQ,51000,11876.7,480.1,11393.4,8926.4,Wholesalers,Wholesalers: Diversified,Chicago,IL
263,FirstEnergy,12494,11864,1348,40063,22059.6,Energy,Utilities: Gas and Electric,Akron,OH
264,Steel Dynamics,8200,11821.8,1258.4,7703.6,7862.8,Materials,Metals,Fort Wayne,IN
265,Lithia Motors,13643,11821.4,265.7,5384,2147,Retailing,"Automotive Retailing, Services",Medford,OR
266,MGM Resorts International,74500,11763.1,466.8,30210.7,13777.3,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
267,Tenneco,81000,11763,55,13232,1793.2,Motor Vehicles & Parts,Motor Vehicles and Parts,Lake Forest,IL
268,Nvidia,13277,11716,4141,13292,108813.4,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
269,Sempra Energy,16823,11687,1049,60638,34508.6,Energy,Utilities: Gas and Electric,San Diego,CA
270,Farmers Insurance Exchange,12740,11650.4,-70.5,17016.3,,Financials,Insurance: Property and Casualty (Mutual),Woodland Hills,CA
271,Ball,17500,11635,454,16554,19335,Materials,"Packaging, Containers",Broomfield,CO
272,Group 1 Automotive,14570,11601.4,157.8,5001.1,1186.6,Retailing,"Automotive Retailing, Services",Houston,TX
273,Unum Group,9600,11598.5,523.4,61875.6,7260.8,Financials,"Insurance: Life, Health (Stock)",Chattanooga,TN
274,Xcel Energy,11068,11537,1261,45987,28903.8,Energy,Utilities: Gas and Electric,Minneapolis,MN
275,Reliance Steel & Aluminum,15600,11534.5,633.7,8044.9,6054.5,Materials,Metals,Los Angeles,CA
276,Huntsman,10000,11527,337,7953,5251.9,Chemicals,Chemicals,The Woodlands,TX
277,Norfolk Southern,26662,11458,2666,36239,49860.3,Transportation,Railroads,Norfolk,VA
278,Laboratory Corp. of America,61000,11333.4,883.7,16185.3,15095.8,Health Care,Health Care: Pharmacy and Other Services,Burlington,NC
